Flight_Date,Route_ID,Aircraft_Type,Fare_Class_ID,Segment_ID,Seats_Capacity,Seats_Sold,Departure_Delay_Minutes,Cancelled_Flag
2022-01-01,DXB-LHR,A350,1,1,44,37,9,0
2022-01-01,DXB-LHR,A350,1,2,121,100,9,0
2022-01-01,DXB-LHR,A350,1,3,33,27,9,0
2022-01-01,DXB-LHR,A350,1,4,22,18,9,0
2022-01-01,DXB-LHR,A350,2,1,8,7,9,0
2022-01-01,DXB-LHR,A350,2,2,8,6,9,0
2022-01-01,DXB-LHR,A350,2,3,6,4,9,0
2022-01-01,DXB-LHR,A350,2,4,2,1,9,0
2022-01-01,DXB-LHR,A350,3,1,18,11,9,0
2022-01-01,DXB-LHR,A350,3,2,4,3,9,0
2022-01-01,DXB-LHR,A350,3,3,19,12,9,0
2022-01-01,DXB-LHR,A350,3,4,7,4,9,0
2022-01-01,DXB-LHR,A350,4,1,4,3,9,0
2022-01-01,DXB-LHR,A350,4,2,0,0,9,0
2022-01-01,DXB-LHR,A350,4,3,3,1,9,0
2022-01-01,DXB-LHR,A350,4,4,1,0,9,0
2022-01-01,DXB-JFK,A380,1,1,76,66,14,0
2022-01-01,DXB-JFK,A380,1,2,209,175,14,0
2022-01-01,DXB-JFK,A380,1,3,57,47,14,0
2022-01-01,DXB-JFK,A380,1,4,38,31,14,0
2022-01-01,DXB-JFK,A380,2,1,18,12,14,0
2022-01-01,DXB-JFK,A380,2,2,19,14,14,0
2022-01-01,DXB-JFK,A380,2,3,14,10,14,0
2022-01-01,DXB-JFK,A380,2,4,5,4,14,0
2022-01-01,DXB-JFK,A380,3,1,21,16,14,0
2022-01-01,DXB-JFK,A380,3,2,5,4,14,0
2022-01-01,DXB-JFK,A380,3,3,22,16,14,0
2022-01-01,DXB-JFK,A380,3,4,8,6,14,0
2022-01-01,DXB-JFK,A380,4,1,4,3,14,0
2022-01-01,DXB-JFK,A380,4,2,0,0,14,0
2022-01-01,DXB-JFK,A380,4,3,3,1,14,0
2022-01-01,DXB-JFK,A380,4,4,1,0,14,0
2022-01-01,DXB-SIN,B777,1,1,52,40,19,0
2022-01-01,DXB-SIN,B777,1,2,143,110,19,0
2022-01-01,DXB-SIN,B777,1,3,39,30,19,0
2022-01-01,DXB-SIN,B777,1,4,26,20,19,0
2022-01-01,DXB-SIN,B777,2,1,10,7,19,0
2022-01-01,DXB-SIN,B777,2,2,9,7,19,0
2022-01-01,DXB-SIN,B777,2,3,7,5,19,0
2022-01-01,DXB-SIN,B777,2,4,2,2,19,0
2022-01-01,DXB-SIN,B777,3,1,21,15,19,0
2022-01-01,DXB-SIN,B777,3,2,5,3,19,0
2022-01-01,DXB-SIN,B777,3,3,22,15,19,0
2022-01-01,DXB-SIN,B777,3,4,8,5,19,0
2022-01-01,DXB-SIN,B777,4,1,4,2,19,0
2022-01-01,DXB-SIN,B777,4,2,0,0,19,0
2022-01-01,DXB-SIN,B777,4,3,2,0,19,0
2022-01-01,DXB-SIN,B777,4,4,0,0,19,0
2022-01-01,DXB-SYD,A350,1,1,44,39,19,0
2022-01-01,DXB-SYD,A350,1,2,121,102,19,0
2022-01-01,DXB-SYD,A350,1,3,33,27,19,0
2022-01-01,DXB-SYD,A350,1,4,22,18,19,0
2022-01-01,DXB-SYD,A350,2,1,8,7,19,0
2022-01-01,DXB-SYD,A350,2,2,8,5,19,0
2022-01-01,DXB-SYD,A350,2,3,6,4,19,0
2022-01-01,DXB-SYD,A350,2,4,2,1,19,0
2022-01-01,DXB-SYD,A350,3,1,18,13,19,0
2022-01-01,DXB-SYD,A350,3,2,4,3,19,0
2022-01-01,DXB-SYD,A350,3,3,19,13,19,0
2022-01-01,DXB-SYD,A350,3,4,7,4,19,0
2022-01-01,DXB-SYD,A350,4,1,4,3,19,0
2022-01-01,DXB-SYD,A350,4,2,0,0,19,0
2022-01-01,DXB-SYD,A350,4,3,3,1,19,0
2022-01-01,DXB-SYD,A350,4,4,1,0,19,0
2022-01-01,DXB-BOM,A350,1,1,44,36,14,0
2022-01-01,DXB-BOM,A350,1,2,121,92,14,0
2022-01-01,DXB-BOM,A350,1,3,33,25,14,0
2022-01-01,DXB-BOM,A350,1,4,22,16,14,0
2022-01-01,DXB-BOM,A350,2,1,8,8,14,0
2022-01-01,DXB-BOM,A350,2,2,8,6,14,0
2022-01-01,DXB-BOM,A350,2,3,6,4,14,0
2022-01-01,DXB-BOM,A350,2,4,2,1,14,0
2022-01-01,DXB-BOM,A350,3,1,18,13,14,0
2022-01-01,DXB-BOM,A350,3,2,4,3,14,0
2022-01-01,DXB-BOM,A350,3,3,19,13,14,0
2022-01-01,DXB-BOM,A350,3,4,7,4,14,0
2022-01-01,DXB-BOM,A350,4,1,4,2,14,0
2022-01-01,DXB-BOM,A350,4,2,0,0,14,0
2022-01-01,DXB-BOM,A350,4,3,3,1,14,0
2022-01-01,DXB-BOM,A350,4,4,1,0,14,0
2022-01-02,DXB-LHR,B777,1,1,52,45,16,0
2022-01-02,DXB-LHR,B777,1,2,143,119,16,0
2022-01-02,DXB-LHR,B777,1,3,39,32,16,0
2022-01-02,DXB-LHR,B777,1,4,26,21,16,0
2022-01-02,DXB-LHR,B777,2,1,10,7,16,0
2022-01-02,DXB-LHR,B777,2,2,9,7,16,0
2022-01-02,DXB-LHR,B777,2,3,7,5,16,0
2022-01-02,DXB-LHR,B777,2,4,2,2,16,0
2022-01-02,DXB-LHR,B777,3,1,21,13,16,0
2022-01-02,DXB-LHR,B777,3,2,5,3,16,0
2022-01-02,DXB-LHR,B777,3,3,22,14,16,0
2022-01-02,DXB-LHR,B777,3,4,8,5,16,0
2022-01-02,DXB-LHR,B777,4,1,4,2,16,0
2022-01-02,DXB-LHR,B777,4,2,0,0,16,0
2022-01-02,DXB-LHR,B777,4,3,2,1,16,0
2022-01-02,DXB-LHR,B777,4,4,0,0,16,0
2022-01-02,DXB-JFK,A350,1,1,44,39,10,0
2022-01-02,DXB-JFK,A350,1,2,121,102,10,0
2022-01-02,DXB-JFK,A350,1,3,33,27,10,0
2022-01-02,DXB-JFK,A350,1,4,22,18,10,0
2022-01-02,DXB-JFK,A350,2,1,8,7,10,0
2022-01-02,DXB-JFK,A350,2,2,8,6,10,0
2022-01-02,DXB-JFK,A350,2,3,6,4,10,0
2022-01-02,DXB-JFK,A350,2,4,2,1,10,0
2022-01-02,DXB-JFK,A350,3,1,18,12,10,0
2022-01-02,DXB-JFK,A350,3,2,4,3,10,0
2022-01-02,DXB-JFK,A350,3,3,19,12,10,0
2022-01-02,DXB-JFK,A350,3,4,7,4,10,0
2022-01-02,DXB-JFK,A350,4,1,4,3,10,0
2022-01-02,DXB-JFK,A350,4,2,0,0,10,0
2022-01-02,DXB-JFK,A350,4,3,3,1,10,0
2022-01-02,DXB-JFK,A350,4,4,1,0,10,0
2022-01-02,DXB-SIN,A380,1,1,76,65,6,0
2022-01-02,DXB-SIN,A380,1,2,209,177,6,0
2022-01-02,DXB-SIN,A380,1,3,57,48,6,0
2022-01-02,DXB-SIN,A380,1,4,38,32,6,0
2022-01-02,DXB-SIN,A380,2,1,18,15,6,0
2022-01-02,DXB-SIN,A380,2,2,19,15,6,0
2022-01-02,DXB-SIN,A380,2,3,14,11,6,0
2022-01-02,DXB-SIN,A380,2,4,5,4,6,0
2022-01-02,DXB-SIN,A380,3,1,21,16,6,0
2022-01-02,DXB-SIN,A380,3,2,5,4,6,0
2022-01-02,DXB-SIN,A380,3,3,22,16,6,0
2022-01-02,DXB-SIN,A380,3,4,8,6,6,0
2022-01-02,DXB-SIN,A380,4,1,4,3,6,0
2022-01-02,DXB-SIN,A380,4,2,0,0,6,0
2022-01-02,DXB-SIN,A380,4,3,3,1,6,0
2022-01-02,DXB-SIN,A380,4,4,1,0,6,0
2022-01-02,DXB-SYD,A350,1,1,44,36,11,0
2022-01-02,DXB-SYD,A350,1,2,121,96,11,0
2022-01-02,DXB-SYD,A350,1,3,33,26,11,0
2022-01-02,DXB-SYD,A350,1,4,22,17,11,0
2022-01-02,DXB-SYD,A350,2,1,8,8,11,0
2022-01-02,DXB-SYD,A350,2,2,8,6,11,0
2022-01-02,DXB-SYD,A350,2,3,6,4,11,0
2022-01-02,DXB-SYD,A350,2,4,2,1,11,0
2022-01-02,DXB-SYD,A350,3,1,18,13,11,0
2022-01-02,DXB-SYD,A350,3,2,4,3,11,0
2022-01-02,DXB-SYD,A350,3,3,19,12,11,0
2022-01-02,DXB-SYD,A350,3,4,7,4,11,0
2022-01-02,DXB-SYD,A350,4,1,4,2,11,0
2022-01-02,DXB-SYD,A350,4,2,0,0,11,0
2022-01-02,DXB-SYD,A350,4,3,3,1,11,0
2022-01-02,DXB-SYD,A350,4,4,1,0,11,0
2022-01-02,DXB-BOM,A380,1,1,76,66,10,0
2022-01-02,DXB-BOM,A380,1,2,209,177,10,0
2022-01-02,DXB-BOM,A380,1,3,57,48,10,0
2022-01-02,DXB-BOM,A380,1,4,38,32,10,0
2022-01-02,DXB-BOM,A380,2,1,18,12,10,0
2022-01-02,DXB-BOM,A380,2,2,19,14,10,0
2022-01-02,DXB-BOM,A380,2,3,14,10,10,0
2022-01-02,DXB-BOM,A380,2,4,5,4,10,0
2022-01-02,DXB-BOM,A380,3,1,21,16,10,0
2022-01-02,DXB-BOM,A380,3,2,5,4,10,0
2022-01-02,DXB-BOM,A380,3,3,22,17,10,0
2022-01-02,DXB-BOM,A380,3,4,8,6,10,0
2022-01-02,DXB-BOM,A380,4,1,4,3,10,0
2022-01-02,DXB-BOM,A380,4,2,0,0,10,0
2022-01-02,DXB-BOM,A380,4,3,3,1,10,0
2022-01-02,DXB-BOM,A380,4,4,1,0,10,0
2022-01-03,DXB-LHR,A350,1,1,44,39,14,0
2022-01-03,DXB-LHR,A350,1,2,121,102,14,0
2022-01-03,DXB-LHR,A350,1,3,33,27,14,0
2022-01-03,DXB-LHR,A350,1,4,22,18,14,0
2022-01-03,DXB-LHR,A350,2,1,8,7,14,0
2022-01-03,DXB-LHR,A350,2,2,8,5,14,0
2022-01-03,DXB-LHR,A350,2,3,6,4,14,0
2022-01-03,DXB-LHR,A350,2,4,2,1,14,0
2022-01-03,DXB-LHR,A350,3,1,18,13,14,0
2022-01-03,DXB-LHR,A350,3,2,4,3,14,0
2022-01-03,DXB-LHR,A350,3,3,19,12,14,0
2022-01-03,DXB-LHR,A350,3,4,7,4,14,0
2022-01-03,DXB-LHR,A350,4,1,4,2,14,0
2022-01-03,DXB-LHR,A350,4,2,0,0,14,0
2022-01-03,DXB-LHR,A350,4,3,3,1,14,0
2022-01-03,DXB-LHR,A350,4,4,1,0,14,0
2022-01-03,DXB-JFK,A350,1,1,44,38,16,0
2022-01-03,DXB-JFK,A350,1,2,121,98,16,0
2022-01-03,DXB-JFK,A350,1,3,33,26,16,0
2022-01-03,DXB-JFK,A350,1,4,22,17,16,0
2022-01-03,DXB-JFK,A350,2,1,8,7,16,0
2022-01-03,DXB-JFK,A350,2,2,8,5,16,0
2022-01-03,DXB-JFK,A350,2,3,6,4,16,0
2022-01-03,DXB-JFK,A350,2,4,2,1,16,0
2022-01-03,DXB-JFK,A350,3,1,18,13,16,0
2022-01-03,DXB-JFK,A350,3,2,4,3,16,0
2022-01-03,DXB-JFK,A350,3,3,19,12,16,0
2022-01-03,DXB-JFK,A350,3,4,7,4,16,0
2022-01-03,DXB-JFK,A350,4,1,4,3,16,0
2022-01-03,DXB-JFK,A350,4,2,0,0,16,0
2022-01-03,DXB-JFK,A350,4,3,3,1,16,0
2022-01-03,DXB-JFK,A350,4,4,1,0,16,0
2022-01-03,DXB-SIN,A380,1,1,76,63,16,0
2022-01-03,DXB-SIN,A380,1,2,209,170,16,0
2022-01-03,DXB-SIN,A380,1,3,57,46,16,0
