Flight_Date,Route_ID,Aircraft_Type,Seats_Capacity,Seats_Sold,Departure_Delay_Minutes,Cancelled_Flag
2022-01-01,DXB-LHR,A380,500,339,10,0
2022-01-01,DXB-JFK,B777,350,242,13,0
2022-01-01,DXB-SIN,B777,350,248,9,0
2022-01-01,DXB-SYD,B777,350,242,11,0
2022-01-01,DXB-BOM,A350,300,208,6,0
2022-01-02,DXB-LHR,A380,500,360,9,0
2022-01-02,DXB-JFK,A380,500,373,15,0
2022-01-02,DXB-SIN,B777,350,232,14,0
2022-01-02,DXB-SYD,A350,300,218,9,0
2022-01-02,DXB-BOM,A380,500,372,16,0
2022-01-03,DXB-LHR,A380,500,364,8,1
2022-01-03,DXB-JFK,B777,350,238,6,0
2022-01-03,DXB-SIN,A380,500,325,12,0
2022-01-03,DXB-SYD,A350,300,209,11,0
2022-01-03,DXB-BOM,A380,500,344,-2,0
2022-01-04,DXB-LHR,B777,350,234,19,0
2022-01-04,DXB-JFK,A350,300,214,10,0
2022-01-04,DXB-SIN,B777,350,230,9,0
2022-01-04,DXB-SYD,B777,350,254,15,0
2022-01-04,DXB-BOM,A350,300,203,11,0
2022-01-05,DXB-LHR,A350,300,223,12,0
2022-01-05,DXB-JFK,A380,500,361,9,1
2022-01-05,DXB-SIN,A380,500,370,24,0
2022-01-05,DXB-SYD,A380,500,356,15,0
2022-01-05,DXB-BOM,A350,300,199,12,1
2022-01-06,DXB-LHR,A350,300,213,13,0
2022-01-06,DXB-JFK,A380,500,325,12,0
2022-01-06,DXB-SIN,A380,500,340,13,0
2022-01-06,DXB-SYD,B777,350,231,5,0
2022-01-06,DXB-BOM,B777,350,246,11,0
2022-01-07,DXB-LHR,A380,500,363,8,0
2022-01-07,DXB-JFK,A380,500,362,7,0
2022-01-07,DXB-SIN,B777,350,232,12,0
2022-01-07,DXB-SYD,B777,350,231,15,0
2022-01-07,DXB-BOM,A350,300,200,11,0
2022-01-08,DXB-LHR,A380,500,362,10,0
2022-01-08,DXB-JFK,B777,350,236,10,0
2022-01-08,DXB-SIN,A350,300,210,11,0
2022-01-08,DXB-SYD,A380,500,350,17,0
2022-01-08,DXB-BOM,B777,350,248,12,0
2022-01-09,DXB-LHR,A350,300,218,11,0
2022-01-09,DXB-JFK,A350,300,197,16,0
2022-01-09,DXB-SIN,A380,500,374,9,0
2022-01-09,DXB-SYD,A380,500,334,8,0
2022-01-09,DXB-BOM,A380,500,349,8,0
2022-01-10,DXB-LHR,A350,300,218,7,0
2022-01-10,DXB-JFK,B777,350,250,10,0
2022-01-10,DXB-SIN,B777,350,246,15,0
2022-01-10,DXB-SYD,A380,500,372,5,0
2022-01-10,DXB-BOM,A380,500,359,3,0
2022-01-11,DXB-LHR,B777,350,249,13,0
2022-01-11,DXB-JFK,A350,300,209,16,0
2022-01-11,DXB-SIN,A350,300,204,14,0
2022-01-11,DXB-SYD,A350,300,222,4,0
2022-01-11,DXB-BOM,B777,350,251,16,0
2022-01-12,DXB-LHR,B777,350,232,14,0
2022-01-12,DXB-JFK,A380,500,371,13,0
2022-01-12,DXB-SIN,B777,350,250,14,0
2022-01-12,DXB-SYD,A350,300,201,7,0
2022-01-12,DXB-BOM,A350,300,218,3,0
2022-01-13,DXB-LHR,B777,350,240,8,0
2022-01-13,DXB-JFK,B777,350,232,8,0
2022-01-13,DXB-SIN,B777,350,260,14,1
2022-01-13,DXB-SYD,B777,350,248,15,0
2022-01-13,DXB-BOM,B777,350,234,13,0
2022-01-14,DXB-LHR,B777,350,229,15,0
2022-01-14,DXB-JFK,A380,500,335,14,0
2022-01-14,DXB-SIN,A380,500,341,8,0
2022-01-14,DXB-SYD,A350,300,216,18,1
